"","ID","Gender","Age","Race","Country_of_birth","Citizenship_status","Family_menbers","Marital_status","Family_income"
"3682",77238,"1",59,"3","1","1",2,"5","12"
"3683",77239,"2",36,"3","1","1",1,"3","1"
"3684",77240,"1",35,"3","1","1",5,"6","7"
"3685",77241,"1",27,"2","1","1",1,"5","8"
"3686",77242,"1",7,"4","1","1",6,"1","3"
"3687",77243,"2",7,"7","1","1",5,"1","15"
"3688",77244,"1",42,"4","1","1",7,"6","15"
"3689",77245,"2",73,"6","2","1",5,"1","7"
"3690",77246,"1",68,"4","1","1",1,"5","4"
"3691",77247,"2",67,"1","2","2",2,"1","3"
"3692",77248,"2",22,"6","2","2",1,"6","6"
"3693",77249,"1",16,"2","2","2",6,"1","8"
"3694",77250,"1",78,"1","1","1",4,"1","8"
"3695",77251,"2",26,"4","1","1",1,"1","3"
"3696",77252,"2",12,"4","1","1",3,"3","6"
"3697",77253,"2",3,"2","1","1",3,"4","7"
"3698",77254,"1",36,"6","2","2",2,"1","15"
"3699",77255,"2",60,"3","1","1",1,"6","6"
"3700",77256,"1",30,"3","1","1",5,"6","6"
"3701",77257,"1",61,"2","2","1",6,"6","14"
"3702",77258,"2",4,"4","1","1",5,"5","3"
"3703",77259,"1",24,"3","1","1",5,"3","5"
"3704",77260,"1",53,"2","2","2",2,"5","7"
"3705",77261,"2",0,"3","1","1",5,"1","15"
"3706",77262,"2",19,"1","1","1",4,"1","9"
"3707",77263,"2",44,"1","2","2",4,"6","77"
"3708",77264,"2",15,"4","1","1",5,"1","9"
"3709",77265,"2",41,"4","1","1",6,"1","15"
"3710",77266,"1",4,"1","1","1",4,"1","15"
"3711",77267,"2",17,"6","2","2",3,"1","15"
"3712",77268,"2",9,"1","1","1",5,"1","14"
"3713",77269,"1",19,"7","1","1",7,"1","15"
"3714",77270,"1",11,"4","2","2",3,"1","14"
"3715",77271,"2",16,"3","1","1",3,"1","1"
"3716",77272,"1",3,"4","1","1",3,"3","4"
"3717",77273,"2",5,"4","1","1",2,"3","7"
"3718",77274,"1",8,"4","1","1",5,"6","2"
"3719",77275,"1",60,"2","2","1",5,"1","14"
"3720",77276,"1",2,"3","1","1",4,"1","15"
"3721",77277,"1",53,"3","1","1",4,"1","5"
"3722",77278,"1",4,"3","1","1",4,"1","15"
"3723",77279,"2",38,"3","1","1",5,"1","15"
"3724",77280,"1",42,"3","1","1",2,"6","14"
"3725",77281,"2",13,"3","1","1",3,"3","1"
"3726",77282,"1",20,"6","2","1",5,"1","12"
"3727",77283,"2",46,"6","1","1",6,"1","15"
"3728",77284,"1",65,"3","1","1",2,"1","9"
"3729",77285,"2",29,"4","1","1",4,"1","3"
"3730",77286,"2",4,"1","1","1",7,"5","1"
"3731",77287,"2",53,"6","1","1",5,"1","15"
"3732",77288,"2",0,"4","1","1",6,"5","3"
"3733",77289,"1",24,"4","1","1",3,"5","4"
"3734",77290,"2",44,"4","1","1",1,"2","4"
"3735",77291,"2",42,"3","1","1",2,"3","2"
"3736",77292,"2",8,"1","1","1",3,"1","13"
"3737",77293,"1",5,"1","1","1",6,"2","5"
"3738",77294,"2",12,"1","1","1",5,"3","4"
"3739",77295,"1",30,"4","1","1",4,"4","10"
"3740",77296,"2",0,"3","1","1",4,"1","5"
"3741",77297,"2",5,"4","1","1",4,"5","1"
"3742",77298,"1",63,"3","1","1",1,"3","6"
"3743",77299,"2",67,"4","1","1",2,"1","9"
"3744",77300,"1",24,"2","1","1",2,"5","12"
"3745",77301,"2",7,"1","1","1",7,"1","8"
"3746",77302,"1",23,"3","1","1",1,"5","6"
"3747",77303,"2",60,"4","1","1",2,"1","7"
"3748",77304,"2",21,"3","1","1",3,"6","2"
"3749",77305,"2",58,"3","1","1",1,"3","2"
"3750",77306,"1",73,"2","2","2",7,"1","15"
"3751",77307,"2",4,"4","1","1",5,"4","5"
