"","ID","Gender","Age","Race","Country_of_birth","Citizenship_status","Family_menbers","Marital_status","Family_income"
"2025",75581,"Female",74,"White","US","US",1,"Widowed","$15000 - $19999"
"2026",75582,"Male",3,"White","US","US",3,"Married","$10000 - $14999"
"2027",75583,"Male",12,"Mexican_American","US","US",7,"Never_married","$15000 - $19999"
"2028",75584,"Female",52,"Black","Others","Other",5,"Married","$65000 - $74999"
"2029",75585,"Male",31,"White","US","US",1,"Never_married","$10000 - $14999"
"2030",75586,"Female",14,"Mexican_American","US","US",6,"Married","$20000 and Over"
"2031",75587,"Male",16,"White","US","US",5,"Divorced","$20000 and Over"
"2032",75588,"Male",32,"Other_Hispanic","US","US",1,"Never_married","$55000 - $64999"
"2033",75589,"Female",13,"Asian","Others","Other",7,"Married","$5000 - $9999"
"2034",75590,"Male",45,"Asian","Others","US",4,"Married","$100000 and Over"
"2035",75591,"Male",38,"Mexican_American","US","US",5,"Married","$35000 - $44999"
"2036",75592,"Female",69,"Asian","Others","US",3,"Married","$15000 - $19999"
"2037",75593,"Female",34,"Mexican_American","US","US",5,"Never_married","Under $20000"
"2038",75594,"Female",26,"White","US","US",5,"partner","$5000 - $9999"
"2039",75595,"Male",21,"Asian","Others","Other",4,"Married","$35000 - $44999"
"2040",75596,"Male",35,"Black","US","US",1,"Widowed","$0 - $4999"
"2041",75597,"Female",3,"Black","US","US",3,"Never_married","$25000 - $34999"
"2042",75598,"Female",62,"Mexican_American","US","US",2,"Married","$100000 and Over"
"2043",75599,"Female",0,"Other_Hispanic","US","US",3,"Married","$65000 - $74999"
"2044",75600,"Male",10,"Other_Hispanic","US","US",4,"Married","$65000 - $74999"
"2045",75601,"Male",61,"Mexican_American","Others","Other",2,"Married","$55000 - $64999"
"2046",75602,"Male",14,"Mexican_American","US","US",7,"Married","$45000 - $54999"
"2047",75603,"Female",3,"White","US","US",4,"Married","$100000 and Over"
"2048",75604,"Male",3,"White","US","US",2,"Never_married","$20000 - $24999"
"2049",75605,"Male",11,"White","US","US",5,"Married","$25000 - $34999"
"2050",75606,"Female",0,"Asian","US","US",3,"Married","$20000 - $24999"
"2051",75607,"Male",64,"White","US","US",1,"Divorced","$20000 - $24999"
